id,place_id,comment,sentiment_score
1,1129,"Site touristique 1129 offers a pleasant experience, but some areas could use improvement. Worth a visit if you’re nearby.",3
2,1005,"A wonderful experience at Site touristique 1005. Great for families, with lots to do and beautiful surroundings.",5
3,2830,"Not bad overall! Site touristique 2830 has potential, but the facilities need a bit of work to really shine.",3
4,4210,"Site touristique 4210 was fine, but it didn’t blow me away. The activities like 'Surf', 'Escalade', 'Sport nautique' were decent, but service could be better.",3
5,2889,"A wonderful experience at Site touristique 2889. Great for families, with lots to do and beautiful surroundings.",5
6,1838,"Site touristique 1838 is okay for a short visit. Some activities are fun, but I wasn’t fully impressed.",3
7,4360,The wide range of activities at Site touristique 4360 made my visit unforgettable. Highly recommend it!,5
8,4448,"Site touristique 4448 offers a pleasant experience, but some areas could use improvement. Worth a visit if you’re nearby.",3
9,2978,"Site touristique 2978 is okay for a short visit. Some activities are fun, but I wasn’t fully impressed.",3
10,598,"Site touristique 598 is okay for a short visit. Some activities are fun, but I wasn’t fully impressed.",3
11,1422,"I enjoyed parts of Site touristique 1422, but it didn’t live up to the hype. The views were nice, though.",3
12,4054,"Site touristique 4054 was fine, but it didn’t blow me away. The activities like 'Baignade', 'Visite guidée', 'Camping', ""Observation d'oiseaux"" were decent, but service could be better.",3
13,3858,"Not bad overall! Site touristique 3858 has potential, but the facilities need a bit of work to really shine.",3
14,1233,"Site touristique 1233 was fine, but it didn’t blow me away. The activities like 'Camping', 'Randonnée', 'Photographie', 'Escalade', 'Shopping' were decent, but service could be better.",3
15,114,"A wonderful experience at Site touristique 114. Great for families, with lots to do and beautiful surroundings.",5
16,597,"Site touristique 597 was fine, but it didn’t blow me away. The activities like 'Artisanat', 'Méditation', 'Visite guidée', 'Gastronomie', 'Shopping' were decent, but service could be better.",3
17,3976,"Not bad overall! Site touristique 3976 has potential, but the facilities need a bit of work to really shine.",3
18,1307,"Site touristique 1307 is okay for a short visit. Some activities are fun, but I wasn’t fully impressed.",3
19,624,"Not bad overall! Site touristique 624 has potential, but the facilities need a bit of work to really shine.",3
20,4461,"I enjoyed parts of Site touristique 4461, but it didn’t live up to the hype. The views were nice, though.",3
21,4350,"Site touristique 4350 is a must-see destination. The location is stunning, and the accessibility for handicapped visitors was a huge plus.",5
22,3229,"I enjoyed parts of Site touristique 3229, but it didn’t live up to the hype. The views were nice, though.",3
23,2014,"Site touristique 2014 is a must-see destination. The location is stunning, and the accessibility for handicapped visitors was a huge plus.",5
24,2649,"Site touristique 2649 is okay for a short visit. Some activities are fun, but I wasn’t fully impressed.",3
25,1149,"Not bad overall! Site touristique 1149 has potential, but the facilities need a bit of work to really shine.",3
26,3838,"Site touristique 3838 was fine, but it didn’t blow me away. The activities like 'Photographie', 'Escalade' were decent, but service could be better.",3
27,2579,"I enjoyed parts of Site touristique 2579, but it didn’t live up to the hype. The views were nice, though.",3
28,2598,"Not bad overall! Site touristique 2598 has potential, but the facilities need a bit of work to really shine.",3
29,2007,"I loved visiting Site touristique 2007! The activities like 'Sport nautique', 'Pêche', 'Surf' were amazing, and the staff was friendly.",5
30,4940,"Site touristique 4940 is a must-see destination. The location is stunning, and the accessibility for handicapped visitors was a huge plus.",5
31,1705,"Site touristique 1705 offers a pleasant experience, but some areas could use improvement. Worth a visit if you’re nearby.",3
32,3157,"Everything about Site touristique 3157 was perfect—the views, the activities, and even the opening hours were convenient!",5
33,4550,"A wonderful experience at Site touristique 4550. Great for families, with lots to do and beautiful surroundings.",5
34,3690,"I enjoyed parts of Site touristique 3690, but it didn’t live up to the hype. The views were nice, though.",3
35,1117,"Site touristique 1117 was fine, but it didn’t blow me away. The activities like ""Observation d'oiseaux"", 'Baignade', 'Camping' were decent, but service could be better.",3
36,853,"I loved visiting Site touristique 853! The activities like ""Observation d'oiseaux"", 'Photographie', 'Sport nautique', 'Randonnée' were amazing, and the staff was friendly.",5
37,2652,"Site touristique 2652 is a must-see destination. The location is stunning, and the accessibility for handicapped visitors was a huge plus.",5
38,2728,The wide range of activities at Site touristique 2728 made my visit unforgettable. Highly recommend it!,5
39,4967,"Not bad overall! Site touristique 4967 has potential, but the facilities need a bit of work to really shine.",3
40,3113,"Site touristique 3113 is okay for a short visit. Some activities are fun, but I wasn’t fully impressed.",3
41,3150,"Site touristique 3150 is okay for a short visit. Some activities are fun, but I wasn’t fully impressed.",3
42,420,"Not bad overall! Site touristique 420 has potential, but the facilities need a bit of work to really shine.",3
43,1699,"Site touristique 1699 was fine, but it didn’t blow me away. The activities like 'Ski', 'Photographie', 'Gastronomie', 'Camping' were decent, but service could be better.",3
44,574,"I enjoyed parts of Site touristique 574, but it didn’t live up to the hype. The views were nice, though.",3
45,920,"Not bad overall! Site touristique 920 has potential, but the facilities need a bit of work to really shine.",3
46,1161,"I enjoyed parts of Site touristique 1161, but it didn’t live up to the hype. The views were nice, though.",3
47,145,"Site touristique 145 was fine, but it didn’t blow me away. The activities like ""Observation d'oiseaux"", 'Sport nautique', 'Ski', 'Camping', 'Shopping' were decent, but service could be better.",3
48,4373,"Site touristique 4373 offers a pleasant experience, but some areas could use improvement. Worth a visit if you’re nearby.",3
